# index cotheta theta phi
1.4200e+02 5.7067e-01 7.3668e-01 3.4087e+00
1.4300e+02 -2.5600e-01 1.4097e+00 4.3742e+00
1.4400e+02 1.1948e+00 6.7526e-01 5.3091e+00
1.4500e+02 6.2533e-01 9.3825e-01 1.1508e+00
1.4600e+02 3.1382e+00 1.2177e+00 5.3028e+00
1.4700e+02 9.3005e-01 7.5990e-01 6.2531e-01
1.4800e+02 6.9316e-01 1.2888e+00 1.0834e+00
1.4900e+02 4.4776e-01 1.3871e+00 5.0588e+00
1.5000e+02 3.3946e-01 7.6469e-01 4.2848e+00
1.5100e+02 2.7694e-01 7.9616e-01 4.4230e+00
1.5200e+02 3.4004e-01 7.7655e-01 4.7931e+00
1.5300e+02 5.0430e-01 8.5091e-01 3.0721e+00
1.5400e+02 2.1946e-01 9.8658e-01 3.1940e+00
1.5500e+02 2.4153e+00 6.9354e-01 2.2195e+00
1.5600e+02 2.8575e+00 4.3952e-01 1.8580e+00
1.5700e+02 1.7427e+00 1.0122e+00 2.0707e+00
1.5800e+02 1.2220e+00 6.9956e-01 2.9194e+00
1.5900e+02 2.2596e+00 5.4126e-01 2.2934e+00
1.6000e+02 1.9177e-01 7.6668e-01 4.1617e+00
1.6100e+02 2.3539e-01 1.2458e+00 3.2760e+00
1.6200e+02 8.2529e-01 3.6004e-01 5.5985e+00
1.6300e+02 2.9976e-01 1.1794e+00 4.4807e+00
1.6400e+02 6.1624e-01 8.8713e-01 1.0007e+00
1.6500e+02 -1.1055e-01 1.1930e+00 3.1945e+00
1.6600e+02 1.1271e+00 1.2340e+00 2.0631e+00
1.6700e+02 1.1730e+00 1.5375e-01 2.1072e+00
1.6800e+02 1.0990e+00 1.1705e+00 4.4044e+00
1.6900e+02 3.8160e-01 7.6668e-01 3.6923e+00
1.7000e+02 3.1985e-01 3.6179e-01 6.9108e-01
1.7100e+02 1.1501e-01 1.3314e+00 4.4438e+00
1.7200e+02 5.2817e+00 6.5539e-01 1.5333e+00
1.7300e+02 2.1436e+00 1.0723e+00 2.0025e+00
1.7400e+02 2.9321e+00 6.7662e-01 1.8723e+00
1.7500e+02 6.6360e-01 8.8436e-01 3.6132e+00
1.7600e+02 1.3759e+00 1.2001e+00 1.9840e+00
1.7700e+02 6.8446e-01 1.1587e+00 1.7454e-01
1.7800e+02 1.9534e+00 8.3360e-01 2.6662e+00
1.7900e+02 1.9963e+00 3.3359e-01 2.5709e+00
1.8000e+02 3.3982e-01 5.1613e-01 2.2257e+00
1.8100e+02 4.5917e-01 8.9225e-01 4.4315e+00
1.8200e+02 3.0615e-01 9.3668e-01 2.8433e+00
1.8300e+02 2.0169e-01 9.3421e-01 2.4400e+00
1.8400e+02 1.5188e+00 8.4081e-02 2.7928e+00
1.8500e+02 1.0768e+00 1.2068e+00 2.3989e+00
1.8600e+02 1.0331e-01 7.6300e-01 1.8258e+00
1.8700e+02 1.0472e+00 1.3037e+00 1.2538e+00
1.8800e+02 1.9167e+00 6.7067e-01 2.6924e+00
1.8900e+02 6.6817e-01 3.3359e-01 5.2831e+00
1.9000e+02 -9.2105e-02 1.3262e+00 4.1157e+00
1.9100e+02 9.4083e-01 5.4399e-01 5.8795e+00
1.9200e+02 9.7854e-01 1.1697e+00 3.1528e+00
1.9300e+02 6.1768e-01 5.5068e-01 1.4355e+00
1.9400e+02 9.1644e-01 8.5304e-01 3.0258e+00
1.9500e+02 5.7593e-01 1.1289e+00 1.4324e+00
1.9600e+02 -2.9280e-01 1.0579e+00 4.3605e+00
1.9700e+02 6.4454e-01 8.5056e-01 3.4485e+00
1.9800e+02 5.6395e-01 7.8072e-01 2.7864e+00
1.9900e+02 2.9894e-01 1.3738e+00 3.1152e+00
2.0000e+02 2.8228e+00 8.2803e-01 1.2492e+00
2.0100e+02 5.9463e-02 1.1740e+00 3.9816e-01
2.0200e+02 1.6494e-01 1.0890e+00 2.3956e+00
2.0300e+02 1.0740e+00 9.8206e-01 3.3745e+00
2.0400e+02 6.8898e-01 8.9535e-01 6.2197e+00
2.0500e+02 2.6503e+00 5.5099e-01 1.4415e+00
2.0600e+02 1.8727e+00 8.2514e-01 2.6002e+00
2.0700e+02 4.7817e-01 3.9687e-01 1.8942e+00
2.0800e+02 8.3770e-01 7.3233e-01 8.2753e-01
2.0900e+02 5.1682e-01 6.4221e-01 1.0905e+00
2.1000e+02 1.2817e+00 8.6501e-01 1.9644e+00
2.1100e+02 4.5180e-01 3.7383e-01 3.6391e+00
2.1200e+02 3.8873e-02 1.2195e+00 3.1324e+00
2.1300e+02 -2.2039e-02 5.4520e-01 4.3098e+00
